,0,1,2,3,4,5,6,7,8,9
2017-08-00 00:00:00,7766.072464060003,908979.9477231584,3395.9,4718.3,4749.9,3841.217939543346,2604.0,1737401.0,3488217659.375769,26477082.819734998
2017-11-00 00:00:00,-17297.725824790487,2139144.3768319106,7370.0,8075.0,11441.0,7848.368922300014,5400.2,3886352.0,16624704057.80056,-86401348.83365257
2018-03-00 00:00:00,-15879.04647457942,566711.802822042,9341.7,10997.0,11700.0,10066.452802401667,8342.0,1432981.0,5643232719.473448,-143747821.07159138
2018-02-00 00:00:00,-71454.95428273223,1956507.9882140476,9181.0,10706.0,11788.0,9126.682497357675,6000.0,4598529.0,17676856094.979588,-580610224.9793023
2017-07-00 00:00:00,-30199.772889069944,909385.952869659,2420.6,2781.0,2922.0,2468.7567360987555,1826.2,1256318.0,2249348933.8476033,-67398703.40123191
2017-06-00 00:00:00,-35330.590615660054,625836.5540756263,2404.7,2472.4,3003.0,2552.483379291448,2046.0,1083480.0,1590285307.8389602,-87118014.02221893
2017-10-00 00:00:00,10599.715704240096,1305159.402240956,5834.9,5673.8,6481.5,5440.218817715259,4133.0,1966915.0,7103491566.932245,52014598.862209
2017-09-00 00:00:00,-36414.53289181011,1420369.7054098006,4613.6,3930.1,4970.0,4014.37732766417,2980.4,2002996.0,5618896047.172192,-131433740.24926674
2017-03-00 00:00:00,-24993.458465989937,986131.0025507957,1189.1,1115.9,1339.9,1108.1891375908933,888.2,737527.0,1094615374.9997463,-26869172.2438
2017-05-00 00:00:00,-11507.693193080087,714971.5097419897,1435.3,2019.4,2690.0,1957.6969149709314,1432.0,1172948.0,1392531676.5928144,-24392470.38823859
2017-02-00 00:00:00,12182.01740723008,231746.7861043517,1013.4,1011.6,1222.4,1117.2571512300608,985.2,158163.0,260302459.5526285,13142313.387908002
2018-01-00 00:00:00,-92404.71557647198,1611741.2069397685,16028.0,13779.0,17252.0,12665.73610008331,9231.1,5254742.0,20087446937.113144,-1112025494.3837907
2017-04-00 00:00:00,28930.241196649935,404118.595060832,1145.7,1236.4,1449.7,1241.4485152735222,1070.0,516122.0,496516225.2009616,35801436.97611582
2017-12-00 00:00:00,-58994.259494280544,2368063.0187477116,17569.0,14905.0,19891.0,14873.378717995143,9370.1,7327237.0,34416567458.47835,-833245185.7457967
