,0,1,2,3,4,5,6,7,8,9
2017-02-21 00:00:00,4346.660382099998,23519.55689790025,1091.8,1129.6,1134.0,1108.885097328396,1085.0,12689.0,26090074.320397373,4848748.671975434
2017-02-27 00:00:00,-795.8909819100012,10511.772616530001,1178.7,1195.5,1204.0,1187.6291190393724,1170.0,8661.0,12481970.913659321,-933358.3999636678
2017-06-08 00:00:00,287.990379440012,16130.233262880107,2644.1,2781.5,2789.5,2710.4921365593164,2527.0,26529.0,43513786.46970857,913692.5917870307
2018-01-05 00:00:00,4220.761350210014,55310.60661687424,15159.0,16401.0,17105.0,15954.729911884426,14725.0,189984.0,885508227.2573137,70580914.33167571
2018-02-08 00:00:00,-9366.84604309,78240.48472003444,8469.5,7985.1,8648.9,8227.345096987645,7565.0,174486.0,643257836.0981398,-76816139.466192
2017-03-28 00:00:00,-193.04350059001308,23852.31698141031,1065.5,1065.6,1068.9,1043.6282956685538,1016.2,21240.0,24891416.28476772,-169818.5404070774
2017-03-30 00:00:00,-625.1863795100119,24461.675949190132,1034.1,1032.9,1053.5,1034.6304087975172,1021.2,37647.0,25310127.979525745,-634899.7058093718
2017-05-12 00:00:00,-3168.451038850103,20780.727352030524,1797.1,1814.1,1864.8,1788.2131183846107,1700.2,30705.0,37115782.105570756,-5580887.870243264
2017-05-18 00:00:00,1593.0064051799845,12438.707357660009,1883.1,1941.5,1954.6,1900.1256556291398,1861.0,22650.0,23691032.29870434,3074233.222944662
2017-06-22 00:00:00,-2483.971776170001,14812.076382910116,2640.2,2640.2,2709.0,2647.578513752975,2554.8,28850.0,39192622.12146609,-6524041.464954378
2017-06-18 00:00:00,-4969.942477429979,19309.640671870053,2611.3,2491.4,2640.0,2530.403224043988,2420.0,29656.0,48872718.82696245,-12542172.662111968
2017-08-23 00:00:00,-475.8223000700157,26463.007810670853,4217.9,4216.5,4255.2,4146.475810273115,4045.0,57560.0,109800099.18151559,-1899723.4741030927
2017-09-21 00:00:00,-7027.867641500017,53375.064228020594,3874.8,3596.7,3905.0,3740.317903071285,3560.0,70303.0,199189972.76647478,-25814533.07450013
2017-10-18 00:00:00,-340.2844255599498,64950.06900219963,5302.0,5496.0,5597.9,5364.789457083698,5114.0,82998.0,347959644.5871576,-1679728.751151953
2017-10-21 00:00:00,1247.6550564900126,52990.69474649089,6113.0,6112.9,6199.9,6066.791597606479,5862.8,75081.0,321206022.6703902,8093777.451101087
2017-10-08 00:00:00,5452.097393180002,27407.904531380667,4438.7,4578.0,4632.4,4530.518264475776,4416.3,43173.0,123975069.70445645,24661293.99494096
2017-11-07 00:00:00,1261.7577780800257,42539.57670704111,7166.7,7110.0,7220.0,7074.171919608748,6948.0,77512.0,300865697.5638579,9116727.463526461
2017-12-05 00:00:00,567.1214795700134,49701.22701413245,11503.0,11592.0,11961.0,11662.545247183996,11405.0,135176.0,579877917.6870431,7497341.9498564135
2017-12-21 00:00:00,-5889.931717509999,70448.19402585542,16425.0,15645.0,17333.0,16066.875456727075,14801.0,272406.0,1126449443.7347925,-91502638.30333833
2018-01-22 00:00:00,-5761.768999010032,67059.17688047064,10554.0,11458.0,11900.0,10923.932810536104,10009.0,191744.0,726933722.5458292,-61409998.05323785
2017-03-25 00:00:00,2284.2491280099966,42889.62368951088,942.14,972.17,981.0,933.2108028545974,888.2,31388.0,39998813.600727096,2299663.8635843266
2017-06-23 00:00:00,-475.05293612999884,7976.353839469993,2672.8,2674.9,2726.0,2690.241325725954,2652.0,16788.0,21461644.194800902,-1260123.7615837585
2017-07-23 00:00:00,-4796.487729820006,33972.76830002043,2844.7,2749.3,2877.5,2770.6260491987596,2655.0,39627.0,94219802.65012726,-13328937.654714601
2017-08-08 00:00:00,-2404.4945535800034,30503.453419301113,3395.9,3387.1,3483.8,3417.0612140900985,3340.0,62796.0,104219085.47449806,-8171791.062396366
2017-08-24 00:00:00,3430.5873016399964,20695.51904062034,4130.8,4322.1,4381.0,4207.258179723203,4089.9,41426.0,87342694.30191988,14607759.060356112
2017-09-09 00:00:00,-1523.1763681899904,29742.805812390463,4304.1,4315.9,4395.2,4282.276174580341,4151.0,48559.0,127251860.4778611,-6222543.880216808
2018-01-02 00:00:00,-448.44033651040013,57022.95572457035,13091.0,13889.0,15500.0,14079.545801607002,12795.0,197829.0,806666825.5039805,-3319413.2890195884
2018-01-21 00:00:00,-11019.862859670759,53940.93799221543,12119.0,12119.0,12732.0,11797.600252742306,11015.0,171446.0,635617075.1680198,-131501807.47870408
2017-10-28 00:00:00,-241.17680855999652,26340.77794270107,5718.3,5673.8,5864.0,5728.130667650413,5632.0,52423.0,150895727.8799733,-1239266.1991055943
2018-01-30 00:00:00,-7635.0642995896915,62011.29380418759,10211.0,11005.0,11250.0,10518.27855760844,9860.4,157960.0,649238799.3382807,-78790764.92949593
2018-02-14 00:00:00,7283.946575300034,51017.16107788207,8934.2,8850.0,9489.0,9060.361810101855,8512.1,129423.0,463103611.0824795,66378552.23847261
2017-02-13 00:00:00,683.08981376,3269.7624178399938,990.91,990.91,999.9,992.7538834951431,985.2,3502.0,3246705.2906145738,678868.5262528795
2017-04-22 00:00:00,-1925.4092551500094,11367.221588810133,1327.0,1346.4,1354.9,1321.363492901564,1290.0,17046.0,15030888.065534953,-2521692.1615740294
2017-07-06 00:00:00,-967.0346735499973,9690.326380590039,2598.5,2593.2,2607.1,2579.956105276312,2546.0,24990.0,24986258.36005059,-2478316.174303039
2017-09-08 00:00:00,-7010.838101920018,58081.831441939226,4613.6,4310.0,4694.9,4374.055918222768,4105.0,80515.0,252819741.77075088,-30488849.867177382
2017-09-15 00:00:00,4165.827962680354,171120.5890231781,3235.4,3697.1,3809.0,3378.2694363732585,2980.4,189078.0,574515974.2395151,18345237.073357742
2017-09-29 00:00:00,-1752.8657278999663,37149.676929760964,4190.0,4168.0,4245.0,4139.478347072711,4024.4,56214.0,153653279.25155526,-6999084.473379679
2017-10-23 00:00:00,-4553.212452199867,66330.97664704057,5982.4,5875.3,6055.0,5843.614707365455,5621.0,85725.0,387194835.9037819,-25527744.771390118
2018-01-07 00:00:00,-5176.393832479894,25222.542913101453,17165.0,16239.0,17178.0,16467.880606372855,15712.0,104609.0,414332615.009779,-84677592.93307206
2018-02-10 00:00:00,-6356.074975860343,68824.62779598558,8679.1,8424.2,9074.9,8613.761816601384,8151.3,170281.0,591829879.8969697,-52048289.47197631
2018-01-25 00:00:00,1896.178256349989,34703.00458411333,11390.0,11147.0,11734.0,11287.571963097527,10845.0,121732.0,391323448.06278896,21843548.8750786
2017-04-02 00:00:00,1608.518467350009,19630.345839010595,1104.8,1087.4,1118.2,1099.9894953070238,1080.9,31643.0,21618252.055014174,1787007.904353492
2017-04-29 00:00:00,-181.80305716999675,8518.406248190011,1421.5,1421.5,1439.5,1418.675307943689,1400.1,15912.0,12083518.395234669,-244200.8772819037
2017-05-30 00:00:00,-192.0060791699987,20873.225638730408,2240.7,2240.7,2265.0,2189.5171918310225,2080.1,38556.0,45582836.54839338,-353819.6007470066
2017-06-24 00:00:00,-2539.8255680099983,16276.789044990133,2671.7,2672.3,2700.0,2582.4310296860617,2452.86920686,28404.0,41856806.036294624,-6489736.923261207
2017-08-11 00:00:00,2419.471549020013,25449.49252294055,3474.7,3643.4,3695.0,3520.767010109521,3380.0,54235.0,89760598.87684163,8481126.900656315
2017-08-30 00:00:00,-2176.6695126500053,16494.297472970215,4525.0,4610.9,4643.0,4569.085126993892,4481.0,38848.0,75313812.67485553,-9845678.414233854
2017-09-07 00:00:00,493.9473126999869,22580.524148220422,4604.1,4603.6,4675.0,4581.520150024058,4455.1,48447.0,103384832.57400392,2541861.6241054507
2017-11-14 00:00:00,189.08091125000567,49678.93238111117,6414.9,6525.3,6689.5,6523.144175417947,6301.0,101128.0,323777625.7802882,1665461.4372662539
2017-11-20 00:00:00,4141.231824510007,38781.53469623096,8003.0,8253.0,8315.0,8151.634049209577,7925.0,82560.0,316390756.4068559,33918541.54863349
2017-11-03 00:00:00,-2074.3433845200207,62466.16034322187,7271.6,7221.0,7448.0,7231.294016096472,6917.0,112101.0,451740400.3855272,-14280024.80988134
2018-01-12 00:00:00,-1629.0930421299854,37772.67107347338,13253.0,13794.0,14100.0,13624.803757116384,12751.0,151476.0,514854502.9483654,-21377356.782466467
2017-12-30 00:00:00,-8096.826297329874,76336.16072516932,13151.0,13233.0,14417.0,12848.11432082513,11651.0,248679.0,977353339.1817095,-100794348.37299767
2017-03-13 00:00:00,227.33170446999566,21639.384132130162,1224.4,1234.9,1247.3,1229.1089094901145,1206.7,20495.0,26598191.065083385,315900.84487374325
2017-03-24 00:00:00,-4779.6763431599775,41296.010134300726,1032.7,942.13,1034.6,976.2322402351634,928.0,34358.0,40334212.04417226,-4633431.304656442
2017-05-31 00:00:00,-596.8646737200016,20265.04439942028,2146.8,2191.8,2241.0,2138.4351824451605,2000.0,32016.0,43312879.93894586,-1230119.3041773778
2018-01-23 00:00:00,-495.695223469977,64596.24192597399,10151.0,10150.0,11427.0,10682.568294751085,9900.0,192315.0,688939330.2155218,-3721629.35095853
2017-02-16 00:00:00,2295.1338706999995,10631.711558080053,1027.7,1026.2,1045.8,1031.7446879466436,1013.9,8396.0,10977409.751391415,2370110.416043088
2017-03-16 00:00:00,-10055.507441640017,48534.185823318796,1218.1,1168.6,1259.7,1205.5847047703746,1132.5,35972.0,58162662.74950618,-12030062.871615741
2017-04-07 00:00:00,4621.968666389993,19625.10858633006,1181.8,1196.6,1209.0,1192.9747422354317,1176.7,15809.0,23436050.968735732,5537558.720191229
