,0,1,2,3,4,5,6,7,8,9
2017-04-14 00:00:00,337.2464519300005,1331.6293757099993,1189.2,1196.0,1198.3,1191.6399701715115,1184.0,2682.0,1589527.146490568,403542.6785699856
2017-04-26 00:00:00,-31.085401379999734,1122.7257923999996,1372.1,1371.0,1378.6,1371.2506178099682,1362.3,2347.0,1538868.039016892,-42439.80460600698
2017-05-06 00:00:00,113.4880653399997,2279.1636799199905,1545.0,1568.7,1583.9,1567.593577981663,1545.0,4251.0,3574772.3869516454,179407.55245176866
2017-07-05 06:00:00,-1173.4898165400018,3352.4515717000386,2534.1,2516.0,2536.9,2509.0172145906713,2477.9,5930.0,8406313.987228317,-2939391.620400263
2017-08-09 12:00:00,286.1041330799988,6063.2351405601685,3311.9,3329.9,3337.7,3283.4759192942656,3235.1,11449.0,19918987.2791399,979798.2783974325
2017-08-29 06:00:00,377.0267888900013,3611.1388028300225,4371.3,4379.5,4395.9,4361.201998034668,4325.1,9159.0,15749016.385717167,1655123.3271632306
2017-09-04 12:00:00,-4472.4289891900535,22403.356701469802,4291.3,4059.0,4359.9,4211.202168897008,4052.0,37892.0,94135472.0316331,-18665762.817660723
2017-09-24 12:00:00,259.8154460000002,4449.727634880068,3677.2,3681.9,3739.0,3697.5803409933183,3662.3,6745.0,16465137.189496718,966975.3406792171
2017-09-26 18:00:00,-119.55258495999992,2925.498890440019,3908.0,3881.5,3934.8,3906.0355858498046,3860.7,6680.0,11419733.935880119,-455738.3192896464
2017-09-27 18:00:00,1702.6488553300046,15758.239900710332,4101.5,4209.7,4229.5,4179.77591589508,4096.0,18739.0,65895355.06741876,7059839.861017058
2017-09-29 12:00:00,542.9996182300004,8535.706848050273,4204.6,4182.7,4245.0,4199.754594500385,4150.0,13527.0,35866094.5848002,2319169.5828412375
2017-10-07 00:00:00,-9.203178010000167,1948.1049539099993,4370.0,4376.4,4393.2,4373.606459816866,4360.0,3932.0,8522512.860480698,-37543.682721925026
2017-10-29 06:00:00,-1578.6296658299987,10612.083685730144,5766.2,5800.0,5862.3,5800.246413402521,5743.3,20597.0,61615629.85795646,-9115893.16265598
2017-11-02 06:00:00,3067.3742100299596,37938.21221878858,6835.1,6950.1,7350.0,6989.86837388222,6753.0,55900.0,265658821.48029286,22116307.14776749
2017-11-10 00:00:00,-81.49364042000944,10212.72493168026,7126.4,7175.0,7324.0,7237.261196350276,7106.9,20002.0,73937591.17931636,-591203.1286698494
2017-11-26 12:00:00,3931.039625030008,19520.794248370228,8970.7,9289.5,9400.0,9167.03675276874,8922.0,35068.0,179557679.65772355,36143413.16649506
